	id	for_v1_first_level	for_v1_second_level	sdg_v1
350	pub.1134421067	Medical and Health Sciences	Immunology	
351	pub.1134421067	Medical and Health Sciences	Public Health and Health Services	
352	pub.1134445536	Medical and Health Sciences	Clinical Sciences	
353	pub.1134472917	Medical and Health Sciences	Clinical Sciences	
354	pub.1134492102	Biological Sciences	Biochemistry and Cell Biology	
355	pub.1134492102	Biological Sciences	Medical Microbiology	
356	pub.1134492102	Medical and Health Sciences	Biochemistry and Cell Biology	
357	pub.1134492102	Medical and Health Sciences	Medical Microbiology	
358	pub.1134522261	Medical and Health Sciences	Clinical Sciences	
359	pub.1134556841	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
360	pub.1134556841	Medical and Health Sciences	Clinical Sciences	
361	pub.1134589123	Medical and Health Sciences	Immunology	
362	pub.1134598220	Chemical Sciences	Physical Chemistry (incl. Structural)	
363	pub.1134683682	Economics	Applied Economics	
364	pub.1134703864	Chemical Sciences	Analytical Chemistry	
365	pub.1134703864	Chemical Sciences	Other Chemical Sciences	
366	pub.1134705099	Biological Sciences	Biochemistry and Cell Biology	
367	pub.1134705099	Biological Sciences	Clinical Sciences	
368	pub.1134705099	Medical and Health Sciences	Biochemistry and Cell Biology	
369	pub.1134705099	Medical and Health Sciences	Clinical Sciences	
370	pub.1134710486	Mathematical Sciences		
371	pub.1134710486	Physical Sciences		
372	pub.1134710486	Engineering		
373	pub.1134712373	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
374	pub.1134712373	Medical and Health Sciences	Medical Physiology	
375	pub.1134714744	Medical and Health Sciences	Clinical Sciences	
376	pub.1134735838	Medical and Health Sciences		
377	pub.1134763422			
378	pub.1134763789	Medical and Health Sciences		
379	pub.1134768505	Economics	Applied Economics	
380	pub.1134768505	Economics	Business and Management	
381	pub.1134768505	Economics	Sociology	
382	pub.1134768505	Commerce, Management, Tourism and Services	Applied Economics	
383	pub.1134768505	Commerce, Management, Tourism and Services	Business and Management	
384	pub.1134768505	Commerce, Management, Tourism and Services	Sociology	
385	pub.1134768505	Studies in Human Society	Applied Economics	
386	pub.1134768505	Studies in Human Society	Business and Management	
387	pub.1134768505	Studies in Human Society	Sociology	
388	pub.1134814798	Economics		Good Health and Well Being
389	pub.1134814798	Economics		Industry, Innovation and Infrastructure
390	pub.1134850501	Medical and Health Sciences	Public Health and Health Services	
391	pub.1134912700			
392	pub.1134912877	Medical and Health Sciences	Clinical Sciences	
393	pub.1135031368	Medical and Health Sciences	Clinical Sciences	
394	pub.1135031368	Medical and Health Sciences	Public Health and Health Services	
395	pub.1135031387	Medical and Health Sciences	Public Health and Health Services	
396	pub.1135063169	Biological Sciences	Biochemistry and Cell Biology	
397	pub.1135073341	Education	Specialist Studies In Education	
398	pub.1135073341	Education	Linguistics	
399	pub.1135073341	Language, Communication and Culture	Specialist Studies In Education	
400	pub.1135073341	Language, Communication and Culture	Linguistics	
401	pub.1135105436	Biological Sciences		
402	pub.1135105436	Technology		
403	pub.1135105436	Medical and Health Sciences		
404	pub.1135108392	Medical and Health Sciences	Medical Microbiology	Good Health and Well Being
405	pub.1135123398	Environmental Sciences	Environmental Science and Management	
406	pub.1135164226	Economics	Applied Economics	
407	pub.1135164226	Economics	Econometrics	
408	pub.1135172186	Economics	Applied Economics	Zero Hunger
409	pub.1135271456	Medical and Health Sciences	Neurosciences	
410	pub.1135271578	Agricultural and Veterinary Sciences	Animal Production	
411	pub.1135276816	Medical and Health Sciences		
412	pub.1135323816	Physical Sciences		
413	pub.1135323816	Chemical Sciences		
414	pub.1135323816	Biological Sciences		
415	pub.1135329014	Medical and Health Sciences	Public Health and Health Services	
416	pub.1135339377	Medical and Health Sciences	Medical Microbiology	
417	pub.1135378390	Medical and Health Sciences	Clinical Sciences	
418	pub.1135406918	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
419	pub.1135406918	Medical and Health Sciences	Public Health and Health Services	Good Health and Well Being
420	pub.1135421524			
421	pub.1135432930	Medical and Health Sciences	Clinical Sciences	
422	pub.1135432930	Medical and Health Sciences	Human Movement and Sports Science	
423	pub.1135432930	Medical and Health Sciences	Neurosciences	
424	pub.1135433039	Medical and Health Sciences	Public Health and Health Services	
425	pub.1135437733	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
426	pub.1135468620	Mathematical Sciences	Applied Mathematics	
427	pub.1135473918	Biological Sciences	Biochemistry and Cell Biology	
428	pub.1135535167	Biological Sciences	Biochemistry and Cell Biology	
429	pub.1135555952	Chemical Sciences	Macromolecular and Materials Chemistry	Climate Action
430	pub.1135568552	Medical and Health Sciences	Public Health and Health Services	
431	pub.1135580850	Information and Computing Sciences	Information Systems	
432	pub.1135580850	Information and Computing Sciences	Other Information and Computing Sciences	
433	pub.1135580850	Information and Computing Sciences	Marketing	
434	pub.1135580850	Commerce, Management, Tourism and Services	Information Systems	
435	pub.1135580850	Commerce, Management, Tourism and Services	Other Information and Computing Sciences	
436	pub.1135580850	Commerce, Management, Tourism and Services	Marketing	
437	pub.1135588381	Medical and Health Sciences	Medical Microbiology	Good Health and Well Being
438	pub.1135588428	Medical and Health Sciences	Medical Microbiology	
439	pub.1135705494	Medical and Health Sciences	Immunology	Good Health and Well Being
440	pub.1135705504	Medical and Health Sciences	Clinical Sciences	
441	pub.1135723446	Biological Sciences	Genetics	
442	pub.1135824269			
443	pub.1135827683	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
444	pub.1135827712	Medical and Health Sciences	Neurosciences	Good Health and Well Being
445	pub.1135837222	Education	Curriculum and Pedagogy	
446	pub.1135837222	Education	Specialist Studies In Education	
447	pub.1135841136	Medical and Health Sciences	Public Health and Health Services	
448	pub.1135871907	Medical and Health Sciences	Clinical Sciences	
449	pub.1135880058	Studies in Human Society	Human Geography	
450	pub.1135880058	Studies in Human Society	Policy and Administration	
451	pub.1135880058	Studies in Human Society	Political Science	
452	pub.1135881976	Medical and Health Sciences	Public Health and Health Services	
453	pub.1135906033	Psychology and Cognitive Sciences	Psychology	
454	pub.1135906109	Medical and Health Sciences	Medical Microbiology	
455	pub.1135906826	Biological Sciences	Biochemistry and Cell Biology	
456	pub.1135914737	Medical and Health Sciences		
457	pub.1135914737	Psychology and Cognitive Sciences		
458	pub.1135930738	Medical and Health Sciences	Medical Microbiology	
459	pub.1135934008	Medical and Health Sciences	Immunology	Good Health and Well Being
460	pub.1136045993	Medical and Health Sciences	Clinical Sciences	
461	pub.1136046523	Medical and Health Sciences	Clinical Sciences	
462	pub.1136050416	Medical and Health Sciences	Oncology and Carcinogenesis	
463	pub.1136223629	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
464	pub.1136306214	Medical and Health Sciences	Clinical Sciences	
465	pub.1136325238	Medical and Health Sciences	Pharmacology and Pharmaceutical Sciences	
466	pub.1136334210	Commerce, Management, Tourism and Services	Commercial Services	
467	pub.1136334210	Commerce, Management, Tourism and Services	Marketing	
468	pub.1136334210	Commerce, Management, Tourism and Services	Tourism	
469	pub.1136334239	Education	Specialist Studies In Education	
470	pub.1136401994	Agricultural and Veterinary Sciences	Forestry Sciences	
471	pub.1136401994	Agricultural and Veterinary Sciences	Applied Economics	
472	pub.1136401994	Agricultural and Veterinary Sciences	Policy and Administration	
473	pub.1136401994	Economics	Forestry Sciences	
474	pub.1136401994	Economics	Applied Economics	
475	pub.1136401994	Economics	Policy and Administration	
476	pub.1136401994	Studies in Human Society	Forestry Sciences	
477	pub.1136401994	Studies in Human Society	Applied Economics	
478	pub.1136401994	Studies in Human Society	Policy and Administration	
479	pub.1136436630	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
480	pub.1136437147	Built Environment and Design		
481	pub.1136441164	Economics	Applied Economics	
482	pub.1136441164	Economics	Policy and Administration	
483	pub.1136441164	Studies in Human Society	Applied Economics	
484	pub.1136441164	Studies in Human Society	Policy and Administration	
485	pub.1136476074	Medical and Health Sciences	Pharmacology and Pharmaceutical Sciences	
486	pub.1136478799	Earth Sciences	Geology	Zero Hunger
487	pub.1136478799	Earth Sciences	Environmental Science and Management	Zero Hunger
488	pub.1136478799	Earth Sciences	Human Geography	Zero Hunger
489	pub.1136478799	Environmental Sciences	Geology	Zero Hunger
490	pub.1136478799	Environmental Sciences	Environmental Science and Management	Zero Hunger
491	pub.1136478799	Environmental Sciences	Human Geography	Zero Hunger
492	pub.1136478799	Studies in Human Society	Geology	Zero Hunger
493	pub.1136478799	Studies in Human Society	Environmental Science and Management	Zero Hunger
494	pub.1136478799	Studies in Human Society	Human Geography	Zero Hunger
495	pub.1136498479	Medical and Health Sciences	Clinical Sciences	
496	pub.1136498479	Medical and Health Sciences	Medical Microbiology	
497	pub.1136498479	Medical and Health Sciences	Public Health and Health Services	
498	pub.1136505816	Medical and Health Sciences	Immunology	
499	pub.1136508450	Biological Sciences	Biochemistry and Cell Biology	
500	pub.1136526569	Medical and Health Sciences	Medical Microbiology	
501	pub.1136526908	Psychology and Cognitive Sciences	Psychology	
502	pub.1136529050	Medical and Health Sciences	Nursing	
503	pub.1136537040	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
504	pub.1136558966	Medical and Health Sciences	Public Health and Health Services	
505	pub.1136581980	Environmental Sciences	Environmental Science and Management	
506	pub.1136581980	Environmental Sciences	Ecology	
507	pub.1136581980	Biological Sciences	Environmental Science and Management	
508	pub.1136581980	Biological Sciences	Ecology	
509	pub.1136617859	Economics	Applied Economics	
510	pub.1136618433	Biological Sciences	Biochemistry and Cell Biology	
511	pub.1136641442	Biological Sciences	Biochemistry and Cell Biology	
512	pub.1136641442	Biological Sciences	Genetics	
513	pub.1136656027	Medical and Health Sciences	Immunology	
514	pub.1136661172	Medical and Health Sciences	Immunology	
515	pub.1136701257	Medical and Health Sciences	Clinical Sciences	
516	pub.1136730955	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
517	pub.1136738702	Medical and Health Sciences	Public Health and Health Services	
518	pub.1136748837	Information and Computing Sciences	Artificial Intelligence and Image Processing	
519	pub.1136751381	Education	Specialist Studies In Education	
520	pub.1136784533	Medical and Health Sciences	Immunology	
521	pub.1136790224	Medical and Health Sciences	Neurosciences	
522	pub.1136841018	Economics	Applied Economics	
523	pub.1136851721	Biological Sciences	Zoology	
524	pub.1136851721	Biological Sciences	Anthropology	
525	pub.1136851721	Studies in Human Society	Zoology	
526	pub.1136851721	Studies in Human Society	Anthropology	
527	pub.1136861767	Medical and Health Sciences	Clinical Sciences	
528	pub.1136866727	Medical and Health Sciences	Immunology	
529	pub.1136888783	Medical and Health Sciences	Medical Microbiology	
530	pub.1136891936	Biological Sciences	Biochemistry and Cell Biology	
531	pub.1136891936	Biological Sciences	Pharmacology and Pharmaceutical Sciences	
532	pub.1136891936	Medical and Health Sciences	Biochemistry and Cell Biology	
533	pub.1136891936	Medical and Health Sciences	Pharmacology and Pharmaceutical Sciences	
534	pub.1136950071	Biological Sciences	Biochemistry and Cell Biology	
535	pub.1136950071	Biological Sciences	Medical Microbiology	
536	pub.1136950071	Medical and Health Sciences	Biochemistry and Cell Biology	
537	pub.1136950071	Medical and Health Sciences	Medical Microbiology	
538	pub.1136951474	Economics		
539	pub.1136951474	Studies in Human Society		
540	pub.1136959204	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	Good Health and Well Being
541	pub.1136979230	Medical and Health Sciences	Immunology	
542	pub.1136989857	Environmental Sciences	Environmental Science and Management	Life on Land
543	pub.1136989857	Environmental Sciences	Ecology	Life on Land
544	pub.1136989857	Environmental Sciences	Law	Life on Land
545	pub.1136989857	Biological Sciences	Environmental Science and Management	Life on Land
546	pub.1136989857	Biological Sciences	Ecology	Life on Land
547	pub.1136989857	Biological Sciences	Law	Life on Land
548	pub.1136989857	Law and Legal Studies	Environmental Science and Management	Life on Land
549	pub.1136989857	Law and Legal Studies	Ecology	Life on Land
550	pub.1136989857	Law and Legal Studies	Law	Life on Land
551	pub.1137013869	Medical and Health Sciences	Public Health and Health Services	
552	pub.1137032166	Information and Computing Sciences	Data Format	
553	pub.1137032166	Information and Computing Sciences	Information Systems	
554	pub.1137038942	Earth Sciences	Geology	
555	pub.1137101803			
556	pub.1137110044	Education	Curriculum and Pedagogy	
557	pub.1137110044	Education	Journalism and Professional Writing	
558	pub.1137110044	Education	History and Philosophy of Specific Fields	
559	pub.1137110044	Studies in Creative Arts and Writing	Curriculum and Pedagogy	
560	pub.1137110044	Studies in Creative Arts and Writing	Journalism and Professional Writing	
561	pub.1137110044	Studies in Creative Arts and Writing	History and Philosophy of Specific Fields	
562	pub.1137110044	Philosophy and Religious Studies	Curriculum and Pedagogy	
563	pub.1137110044	Philosophy and Religious Studies	Journalism and Professional Writing	
564	pub.1137110044	Philosophy and Religious Studies	History and Philosophy of Specific Fields	
565	pub.1137137562	Medical and Health Sciences	Clinical Sciences	
566	pub.1137138582	Medical and Health Sciences	Public Health and Health Services	Good Health and Well Being
567	pub.1137139847	Physical Sciences		
568	pub.1137139847	Chemical Sciences		
569	pub.1137139847	Engineering		
570	pub.1137140586			
571	pub.1137141470	Medical and Health Sciences		
572	pub.1137184285	Medical and Health Sciences	Clinical Sciences	Quality Education
573	pub.1137196694	Medical and Health Sciences	Public Health and Health Services	
574	pub.1137236337			
575	pub.1137257993	Physical Sciences	Astronomical and Space Sciences	
576	pub.1137261840	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
577	pub.1137262430	Medical and Health Sciences	Immunology	Good Health and Well Being
578	pub.1137262438	Medical and Health Sciences	Immunology	
579	pub.1137342596	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
580	pub.1137376134	Biological Sciences	Genetics	
581	pub.1137386977	Biological Sciences	Genetics	
582	pub.1137386977	Biological Sciences	Oncology and Carcinogenesis	
583	pub.1137386977	Medical and Health Sciences	Genetics	
584	pub.1137386977	Medical and Health Sciences	Oncology and Carcinogenesis	
585	pub.1137395524	Medical and Health Sciences	Clinical Sciences	
586	pub.1137403043	Medical and Health Sciences	Medical Microbiology	
587	pub.1137407494	Medical and Health Sciences		
588	pub.1137412678	Education	Specialist Studies In Education	
589	pub.1137412748	Law and Legal Studies	Law	Peace, Justice and Strong Institutions
590	pub.1137449854	Economics	Applied Economics	Peace, Justice and Strong Institutions
591	pub.1137460892	Biological Sciences	Biochemistry and Cell Biology	
592	pub.1137475309	Biological Sciences	Biochemistry and Cell Biology	Zero Hunger
593	pub.1137544713	Biological Sciences	Biochemistry and Cell Biology	
594	pub.1137566649	Philosophy and Religious Studies	Philosophy	Peace, Justice and Strong Institutions
595	pub.1137610288	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
596	pub.1137610288	Medical and Health Sciences	Immunology	Good Health and Well Being
597	pub.1137618189			
598	pub.1137658038	Biological Sciences	Biochemistry and Cell Biology	
599	pub.1137658038	Biological Sciences	Genetics	
600	pub.1137682113	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	
601	pub.1137685786	Mathematical Sciences	Applied Mathematics	
602	pub.1137710027	Medical and Health Sciences	Clinical Sciences	
603	pub.1137710027	Medical and Health Sciences	Public Health and Health Services	
604	pub.1137734005	Medical and Health Sciences		
605	pub.1137750244	Education	Curriculum and Pedagogy	
606	pub.1137750244	Education	Specialist Studies In Education	
607	pub.1137755600			
608	pub.1137773317	Medical and Health Sciences	Immunology	Good Health and Well Being
609	pub.1137799816	Medical and Health Sciences	Clinical Sciences	
610	pub.1137807644	Medical and Health Sciences	Public Health and Health Services	
611	pub.1137808411	Medical and Health Sciences	Clinical Sciences	
612	pub.1137808411	Medical and Health Sciences	Public Health and Health Services	
613	pub.1137818272	Medical and Health Sciences	Medical Microbiology	
614	pub.1137820700	Biological Sciences	Biochemistry and Cell Biology	
615	pub.1137840479	Medical and Health Sciences		
616	pub.1137862454	Medical and Health Sciences	Immunology	Good Health and Well Being
617	pub.1137879065	Medical and Health Sciences	Medical Microbiology	
618	pub.1137890676	Biological Sciences	Genetics	
619	pub.1137903631	Chemical Sciences	Analytical Chemistry	
620	pub.1137903631	Chemical Sciences	Distributed Computing	
621	pub.1137903631	Chemical Sciences	Electrical and Electronic Engineering	
622	pub.1137903631	Information and Computing Sciences	Analytical Chemistry	
623	pub.1137903631	Information and Computing Sciences	Distributed Computing	
624	pub.1137903631	Information and Computing Sciences	Electrical and Electronic Engineering	
625	pub.1137903631	Engineering	Analytical Chemistry	
626	pub.1137903631	Engineering	Distributed Computing	
627	pub.1137903631	Engineering	Electrical and Electronic Engineering	
628	pub.1137907340	Economics	Applied Economics	
629	pub.1137907340	Economics	Demography	
630	pub.1137907340	Studies in Human Society	Applied Economics	
631	pub.1137907340	Studies in Human Society	Demography	
632	pub.1137942097	Medical and Health Sciences	Medical Microbiology	
633	pub.1137959368	Medical and Health Sciences	Neurosciences	
634	pub.1137974868	Medical and Health Sciences	Clinical Sciences	
635	pub.1137974868	Medical and Health Sciences	Immunology	
636	pub.1137974868	Medical and Health Sciences	Public Health and Health Services	
637	pub.1138090253			
638	pub.1138129011	Biological Sciences	Biochemistry and Cell Biology	
639	pub.1138145394	Information and Computing Sciences	Artificial Intelligence and Image Processing	
640	pub.1138165160	Chemical Sciences	Medicinal and Biomolecular Chemistry	
641	pub.1138165160	Chemical Sciences	Organic Chemistry	
642	pub.1138165160	Chemical Sciences	Theoretical and Computational Chemistry	
643	pub.1138165392	Built Environment and Design		
644	pub.1138182150	Medical and Health Sciences	Public Health and Health Services	
645	pub.1138211450	Agricultural and Veterinary Sciences	Forestry Sciences	Life on Land
646	pub.1138214444	Economics	Applied Economics	
647	pub.1138215135	Medical and Health Sciences	Clinical Sciences	
648	pub.1138246422	Medical and Health Sciences	Cardiorespiratory Medicine and Haematology	Good Health and Well Being
649	pub.1138294730	Medical and Health Sciences	Clinical Sciences	Good Health and Well Being
650	pub.1138301879	Medical and Health Sciences	Public Health and Health Services	
651	pub.1138306010	Medical and Health Sciences	Public Health and Health Services	Good Health and Well Being
652	pub.1138312427	Economics	Applied Economics	
653	pub.1138312427	Economics	Econometrics	
654	pub.1138327362	Medical and Health Sciences	Clinical Sciences	
655	pub.1138368978	Medical and Health Sciences	Oncology and Carcinogenesis	
656	pub.1138370374	Language, Communication and Culture	Linguistics	Life on Land
657	pub.1138397961	Information and Computing Sciences	Information Systems	
658	pub.1138398108	Medical and Health Sciences	Public Health and Health Services	
659	pub.1138407537	Studies in Human Society	Sociology	
660	pub.1138462607	Medical and Health Sciences	Public Health and Health Services	
661	pub.1138469707	Medical and Health Sciences	Clinical Sciences	
662	pub.1138470274	Medical and Health Sciences	Clinical Sciences	
663	pub.1138475368	Medical and Health Sciences	Immunology	Good Health and Well Being
664	pub.1138475368	Medical and Health Sciences	Medical Microbiology	Good Health and Well Being
665	pub.1138494792	Medical and Health Sciences	Clinical Sciences	
666	pub.1138517893			
667	pub.1138527246	Medical and Health Sciences	Immunology	Good Health and Well Being
668	pub.1138562306	Built Environment and Design		Affordable and Clean Energy
669	pub.1138562306	Built Environment and Design		Climate Action
670	pub.1138562326	Built Environment and Design		Sustainable Cities and Communities
671	pub.1138562353	Medical and Health Sciences	Medical Microbiology	
672	pub.1138581624	Medical and Health Sciences	Immunology	Good Health and Well Being
673	pub.1138608208	Medical and Health Sciences	Clinical Sciences	
674	pub.1138618684			
675	pub.1138619061	Medical and Health Sciences	Neurosciences	
676	pub.1138646562	Medical and Health Sciences	Medical Microbiology	
677	pub.1138655074	Commerce, Management, Tourism and Services	Banking, Finance and Investment	
678	pub.1138721043	Medical and Health Sciences	Immunology	
679	pub.1138721043	Medical and Health Sciences	Neurosciences	
680	pub.1138721064	Earth Sciences	Physical Geography and Environmental Geoscience	
681	pub.1138721064	Earth Sciences	Environmental Science and Management	
682	pub.1138721064	Environmental Sciences	Physical Geography and Environmental Geoscience	
683	pub.1138721064	Environmental Sciences	Environmental Science and Management	
684	pub.1138770529	Philosophy and Religious Studies	Religion and Religious Studies	
685	pub.1138828349	Medical and Health Sciences	Oncology and Carcinogenesis	
686	pub.1138870053	Medical and Health Sciences	Immunology	Good Health and Well Being
687	pub.1138984850	Medical and Health Sciences	Immunology	
688	pub.1139030810	Medical and Health Sciences	Neurosciences	
689	pub.1139030810	Medical and Health Sciences	Psychology	
690	pub.1139030810	Psychology and Cognitive Sciences	Neurosciences	
691	pub.1139030810	Psychology and Cognitive Sciences	Psychology	
692	pub.1139098537	Medical and Health Sciences	Immunology	Good Health and Well Being
693	pub.1139114552	Medical and Health Sciences	Public Health and Health Services	Peace, Justice and Strong Institutions
694	pub.1139207057	Biological Sciences	Genetics	
695	pub.1139211098			
696	pub.1139214874	Medical and Health Sciences	Immunology	Good Health and Well Being
697	pub.1139248939			
698	pub.1139249926	Biological Sciences	Microbiology	
699	pub.1139249926	Biological Sciences	Medical Microbiology	
700	pub.1139249926	Medical and Health Sciences	Microbiology	
701	pub.1139249926	Medical and Health Sciences	Medical Microbiology	
702	pub.1139255456	Medical and Health Sciences	Medical Microbiology	
